0x140789A20	EXE2j_btlev2a_btlev2a_exit
0x140A934D0	EXE2j_btlev2b_BattleEvent2bMove
0x140A935C0	EXE2j_btlev2b_event2b_init
0x140A93800	EXE2j_btlev2b_event2b_move
0x140A938F0	EXE2j_btlev2b_event2b_appear
0x140A93AC0	EXE2j_btlev2b_event2b_set
0x140A93D50	EXE2j_btlev2b_event2b_fade
0x140A93F20	EXE2j_btlev2b_event2b_exit
0x1406812F0	EXE2j_btlev2c_BattleEvent2cMove
0x1406813E0	EXE2j_btlev2c_btlev2c_init
0x140681610	EXE2j_btlev2c_btlev2c_move
0x140681700	EXE2j_btlev2c_btlev2c_telop
0x1406818C0	EXE2j_btlev2c_btlev2c_pl_erase
0x140681BA0	EXE2j_btlev2c_btlev2c_pl_entry
0x140681D40	EXE2j_btlev2c_btlev2c_exit
0x140633210	EXE2j_btlev2d_BattleEvent2dMove
0x140633300	EXE2j_btlev2d_event2d_init
0x140633550	EXE2j_btlev2d_event2d_move
0x140633640	EXE2j_btlev2d_event2d_appear
0x1406338D0	EXE2j_btlev2d_event2d_set
0x140633B50	EXE2j_btlev2d_event2d_fade
0x140633D20	EXE2j_btlev2d_event2d_exit
0x140633E80	EXE2j_btlev2d_next_set_pos
0x14067E140	EXE2j_btlev2e_BattleEvent2eMove
0x14067E230	EXE2j_btlev2e_btlev2e_init
0x14067E460	EXE2j_btlev2e_btlev2e_move
0x14067E550	EXE2j_btlev2e_btlev2e_telop
0x14067E700	EXE2j_btlev2e_btlev2e_pl_erase
