0x1413714D0	EXE3w_btlev26_event26_init
0x141371710	EXE3w_btlev26_event26_move
0x141371800	EXE3w_btlev26_event26_appear
0x141371A80	EXE3w_btlev26_event26_set
0x141371EC0	EXE3w_btlev26_event26_fade
0x141372090	EXE3w_btlev26_event26_exit
0x14113DBD0	EXE3w_btlev27_BattleEvent27Move
0x14113DCC0	EXE3w_btlev27_btlev27_move
0x14113DDB0	EXE3w_btlev27_btlev27_pl_erase
0x140C52720	EXE3w_btlev28_BattleEvent28Move
0x140C52810	EXE3w_btlev28_event28_init
0x140C52A50	EXE3w_btlev28_event28_move
0x140C52B40	EXE3w_btlev28_event28_appear
0x140C52DC0	EXE3w_btlev28_event28_set
0x140C53200	EXE3w_btlev28_event28_fade
0x140C533D0	EXE3w_btlev28_event28_exit
0x1413F9BB0	EXE3w_btlev29_BattleEvent29Move
0x1413F9CA0	EXE3w_btlev29_btlev29_move
0x1413F9D90	EXE3w_btlev29_btlev29_pl_erase
0x140F44AE0	EXE3w_btlev2a_BattleEvent2aMove
0x140F44BD0	EXE3w_btlev2a_btlev2a_move
0x140F44CC0	EXE3w_btlev2a_btlev2a_pl_erase
0x141395940	EXE3w_btlev2b_BattleEvent2bMove
0x141395A30	EXE3w_btlev2b_btlev2b_init
0x141395D50	EXE3w_btlev2b_btlev2b_move
0x141395E40	EXE3w_btlev2b_btlev2b_check
0x141395F70	EXE3w_btlev2b_btlev2b_telop
0x141396110	EXE3w_btlev2b_btlev2b_pl_erase
0x1413963D0	EXE3w_btlev2b_btlev2b_pl_entry
0x141396560	EXE3w_btlev2b_btlev2b_exit
0x140D8F490	EXE3w_btlev2c_BattleEvent2cMove
0x140D8F580	EXE3w_btlev2c_event2c_init
0x140D8F7C0	EXE3w_btlev2c_event2c_move
0x140D8F8B0	EXE3w_btlev2c_event2c_appear
0x140D8FA80	EXE3w_btlev2c_event2c_set
0x140D8FD10	EXE3w_btlev2c_event2c_fade
0x140D8FEE0	EXE3w_btlev2c_event2c_exit
0x140D3FA20	EXE3w_btlev2d_BattleEvent2dMove
0x140D3FB10	EXE3w_btlev2d_event2d_init
0x140D3FD50	EXE3w_btlev2d_event2d_move
0x140D3FE40	EXE3w_btlev2d_event2d_set
