0x140637D70	EXE4r_btlmain_battle_link_out_00
0x140637F30	EXE4r_btlmain_battle_link_out_01
0x140638100	EXE4r_btlmain_battle_return
0x140638B50	EXE4r_btlmain_battle_error
0x140638D70	EXE4r_btlmain_battle_error_00
0x140638F00	EXE4r_btlmain_battle_error_01
0x140639040	EXE4r_btlmain_battle_error_02
0x140639290	EXE4r_btlmain_battle_test
0x140732AC0	EXE4r_btlmove_BattleMove
0x140732C10	EXE4r_btlmove_battle_move_start
0x140733040	EXE4r_btlmove_battle_move_attack
0x140733500	EXE4r_btlmove_battle_move_win
0x140733A20	EXE4r_btlmove_battle_move_lose
0x140733EE0	EXE4r_btlmove_battle_move_draw
0x140734210	EXE4r_btlmove_battle_move_judge
0x140734300	EXE4r_btlmove_battle_move_judge_00
0x140734530	EXE4r_btlmove_battle_move_judge_01
0x140734810	EXE4r_btlmove_battle_move_pause
0x140734920	EXE4r_btlmove_BattleMoveInit
0x140187E30	EXE4r_btlnml_BattleTypeNormal
0x140187F20	EXE4r_btlnml_battle_normal_field
0x1401884F0	EXE4r_btlnml_battle_cockpit_set
0x1401886C0	EXE4r_btlnml_battle_normal_round_disp
0x1401887B0	EXE4r_btlnml_battle_normal_round_disp_00
0x1401889E0	EXE4r_btlnml_battle_normal_round_disp_01
0x140188B90	EXE4r_btlnml_battle_normal_round_disp_02
0x140188DC0	EXE4r_btlnml_battle_normal_custom
0x140189030	EXE4r_btlnml_battle_normal_battle
0x140189660	EXE4r_btlnml_battle_normal_result
0x140189750	EXE4r_btlnml_battle_normal_result_00
0x140189990	EXE4r_btlnml_battle_normal_result_01
0x140189AF0	EXE4r_btlnml_battle_normal_fade_out
0x140189E00	EXE4r_btlnml_battle_normal_tuto02_end_message
0x14018A020	EXE4r_btlnml_battle_normal_tuto03_end_message
0x14018A240	EXE4r_btlnml_battle_normal_op_custom
0x140058BA0	EXE4r_btlobj_sub_BattleObjCharMove
0x140058E00	EXE4r_btlobj_sub_BattleObjCharMove2
0x140058FC0	EXE4r_btlobj_sub_BattleObjCharMove3
0x1400591E0	EXE4r_btlobj_sub_BattleObjCharMove4
0x140059490	EXE4r_btlobj_sub_BattleObjCharMove5
0x140059680	EXE4r_btlobj_sub_BattleObjCharMoveNavi
0x140059930	EXE4r_btlobj_sub_FormSetEfc00
0x14005A8B0	EXE4r_btlobj_sub_PosRandXZ
0x14005ADC0	EXE4r_btlobj_sub_BattleObjDirCheck
0x14005AEA0	EXE4r_btlobj_sub_BattleObjEntryTransCheck
0x1400A6740	EXE4r_btlsio_sub_BattleSioWorkInit
0x1400A68F0	EXE4r_btlsio_sub_BattleSioInit
0x1400A6AF0	EXE4r_btlsio_sub_BattleSioBeFlagGet
