0x140864880	EXE2j_btlev17_btlev17_pl_entry
0x140864A20	EXE2j_btlev17_btlev17_exit
0x1409C0EC0	EXE2j_btlev18_BattleEvent18Move
0x1409C0FB0	EXE2j_btlev18_event18_init
0x1409C11F0	EXE2j_btlev18_event18_move
0x1409C12E0	EXE2j_btlev18_event18_telop
0x1409C1530	EXE2j_btlev18_event18_efc
0x1409C16D0	EXE2j_btlev18_event18_fade
0x1409C18A0	EXE2j_btlev18_event18_exit
0x1406BB6E0	EXE2j_btlev19_BattleEvent19Move
0x1406BB7D0	EXE2j_btlev19_btlev19_init
0x1406BBA00	EXE2j_btlev19_btlev19_move
0x1406BBAF0	EXE2j_btlev19_btlev19_telop
0x1406BBCB0	EXE2j_btlev19_btlev19_pl_erase
0x1406BBF90	EXE2j_btlev19_btlev19_pl_entry
0x1406BC130	EXE2j_btlev19_btlev19_exit
0x14089E040	EXE2j_btlev1a_BattleEvent1aMove
0x14089E130	EXE2j_btlev1a_event1a_init
0x14089E370	EXE2j_btlev1a_event1a_move
0x14089E460	EXE2j_btlev1a_event1a_telop
0x14089E6B0	EXE2j_btlev1a_event1a_efc
0x14089E920	EXE2j_btlev1a_event1a_fade
0x14089EAF0	EXE2j_btlev1a_event1a_exit
0x1408DCE30	EXE2j_btlev1b_BattleEvent1bMove
0x1408DCF20	EXE2j_btlev1b_event1b_init
0x1408DD160	EXE2j_btlev1b_event1b_move
0x1408DD250	EXE2j_btlev1b_event1b_telop
0x1408DD4A0	EXE2j_btlev1b_event1b_efc
0x1408DD710	EXE2j_btlev1b_event1b_fade
0x1408DD8E0	EXE2j_btlev1b_event1b_exit
0x140650FB0	EXE2j_btlev1c_BattleEvent1cMove
0x1406510A0	EXE2j_btlev1c_btlev1c_init
0x1406512D0	EXE2j_btlev1c_btlev1c_move
0x1406513C0	EXE2j_btlev1c_btlev1c_telop
0x140651580	EXE2j_btlev1c_btlev1c_pl_erase
0x140651860	EXE2j_btlev1c_btlev1c_pl_entry
0x140651A00	EXE2j_btlev1c_btlev1c_exit
0x1405C60C0	EXE2j_btlev1d_BattleEvent1dMove
0x1405C61B0	EXE2j_btlev1d_event1d_init
0x1405C63F0	EXE2j_btlev1d_event1d_move
0x1405C64E0	EXE2j_btlev1d_event1d_appear
0x1405C66F0	EXE2j_btlev1d_event1d_set
0x1405C69F0	EXE2j_btlev1d_event1d_fade
0x1405C6C00	EXE2j_btlev1d_event1d_exit
0x14092E5C0	EXE2j_btlev1e_BattleEvent1eMove
0x14092E6B0	EXE2j_btlev1e_btlev1e_init
0x14092E8E0	EXE2j_btlev1e_btlev1e_move
0x14092E9D0	EXE2j_btlev1e_btlev1e_telop
0x14092EB90	EXE2j_btlev1e_btlev1e_pl_erase
0x14092EE70	EXE2j_btlev1e_btlev1e_pl_entry
0x14092F010	EXE2j_btlev1e_btlev1e_exit
0x1405B8240	EXE2j_btlev1f_BattleEvent1fMove
0x1405B8330	EXE2j_btlev1f_btlev1f_init
0x1405B8560	EXE2j_btlev1f_btlev1f_move
0x1405B8650	EXE2j_btlev1f_btlev1f_telop
0x1405B8810	EXE2j_btlev1f_btlev1f_pl_erase
0x1405B8AF0	EXE2j_btlev1f_btlev1f_pl_entry
0x1405B8C90	EXE2j_btlev1f_btlev1f_exit
0x1408C84F0	EXE2j_btlev20_BattleEvent20Move
0x1408C85E0	EXE2j_btlev20_btlev20_init
0x1408C8810	EXE2j_btlev20_btlev20_move
0x1408C8900	EXE2j_btlev20_btlev20_telop
0x1408C8B80	EXE2j_btlev20_btlev20_trap_set
0x1408C8E80	EXE2j_btlev20_btlev20_wait
0x1408C9030	EXE2j_btlev20_btlev20_trap_pos_check
0x1408C9690	EXE2j_btlev20_btlev20_exit
0x140688710	EXE2j_btlev21_BattleEvent21Move
0x140688800	EXE2j_btlev21_btlev21_init
0x140688A30	EXE2j_btlev21_btlev21_move
0x140688B20	EXE2j_btlev21_btlev21_telop
0x140688CE0	EXE2j_btlev21_btlev21_pl_erase
0x140688FC0	EXE2j_btlev21_btlev21_pl_entry
0x140689160	EXE2j_btlev21_btlev21_exit
0x140A36750	EXE2j_btlev22_BattleEvent22Move
0x140A36840	EXE2j_btlev22_btlev22_init
0x140A36A70	EXE2j_btlev22_btlev22_move
0x140A36B60	EXE2j_btlev22_btlev22_telop
0x140A36D20	EXE2j_btlev22_btlev22_pl_erase
0x140A37000	EXE2j_btlev22_btlev22_pl_entry
