0x260b8	EXE4_btlmain_battle_init_00
0x260c0	EXE4_btlmain_battle_init_01
0x260e0	EXE4_btlmain_battle_init_01_00
0x260e8	EXE4_btlmain_battle_init_01_01
0x260f8	EXE4_btlmain_battle_init_01_02
0x26108	EXE4_btlmain_battle_init_01_03
0x26118	EXE4_btlmain_battle_init_02
0x26128	EXE4_btlmain_battle_main
0x26130	EXE4_btlmain_battle_exit
0x26148	EXE4_btlmain_battle_link_out
0x26160	EXE4_btlmain_battle_link_out_00
0x26168	EXE4_btlmain_battle_link_out_01
0x26170	EXE4_btlmain_battle_return
0x26178	EXE4_btlmain_battle_error
0x26190	EXE4_btlmain_battle_error_00
0x261a0	EXE4_btlmain_battle_error_01
0x261a8	EXE4_btlmain_battle_error_02
0x261b0	EXE4_btlmain_battle_test
0x261b8	EXE4_btlmove_BattleMove
0x261e8	EXE4_btlmove_battle_move_start
0x261f0	EXE4_btlmove_battle_move_attack
0x261f8	EXE4_btlmove_battle_move_win
0x26200	EXE4_btlmove_battle_move_lose
0x26208	EXE4_btlmove_battle_move_draw
0x26210	EXE4_btlmove_battle_move_judge
0x26228	EXE4_btlmove_battle_move_judge_00
0x26230	EXE4_btlmove_battle_move_judge_01
0x26238	EXE4_btlmove_battle_move_pause
0x26248	EXE4_btlmove_BattleMoveInit
0x26258	EXE4_btlnml_BattleTypeNormal
0x26288	EXE4_btlnml_battle_normal_field
0x262a0	EXE4_btlnml_battle_cockpit_set
0x262b0	EXE4_btlnml_battle_normal_round_disp
0x262c8	EXE4_btlnml_battle_normal_round_disp_00
0x262d0	EXE4_btlnml_battle_normal_round_disp_01
0x262d8	EXE4_btlnml_battle_normal_round_disp_02
0x262e0	EXE4_btlnml_battle_normal_custom
0x262e8	EXE4_btlnml_battle_normal_battle
0x262f0	EXE4_btlnml_battle_normal_result
0x26308	EXE4_btlnml_battle_normal_result_00
0x26310	EXE4_btlnml_battle_normal_result_01
0x26318	EXE4_btlnml_battle_normal_fade_out
0x26320	EXE4_btlnml_battle_normal_tuto02_end_message
0x26328	EXE4_btlnml_battle_normal_tuto03_end_message
0x26330	EXE4_btlnml_battle_normal_op_custom
0x26338	EXE4_btlobj_sub_BattleObjCharMove
0x26340	EXE4_btlobj_sub_BattleObjCharMove2
0x26348	EXE4_btlobj_sub_BattleObjCharMove3
0x26350	EXE4_btlobj_sub_BattleObjCharMove4
0x26358	EXE4_btlobj_sub_BattleObjCharMove5
0x26360	EXE4_btlobj_sub_BattleObjCharMoveNavi
0x26368	EXE4_btlobj_sub_FormSetEfc00
0x26370	EXE4_btlobj_sub_PosRandXZ
0x26378	EXE4_btlobj_sub_BattleObjDirCheck
0x26380	EXE4_btlobj_sub_BattleObjEntryTransCheck
0x26388	EXE4_btlsio_sub_BattleSioWorkInit
0x26390	EXE4_btlsio_sub_BattleSioInit
0x26398	EXE4_btlsio_sub_BattleSioBeFlagGet
0x263a0	EXE4_btlsio_sub_BattleSioOff
0x263a8	EXE4_btlsio_sub_BattleSioMain
0x263b0	EXE4_btlsio_sub_BattleSioStatusGet
0x263b8	EXE4_btlsio_sub_BattleSioDataProc
0x263c0	EXE4_btlsio_sub_BattleSioSendDataStart
0x263c8	EXE4_btltrap_BattleTrapInit
0x263d0	EXE4_btltrap_BattleTrapCheck
0x263d8	EXE4_btltrap_BattleTrapCheck2
0x263e0	EXE4_btltrap_BattleTrapSet
0x263e8	EXE4_btltrap_BattleTrapReset
0x263f0	EXE4_btltrap_BattleTrapMove
0x263f8	EXE4_btltrap_NaviDamageTrapCheck
0x26400	EXE4_btl_sub_BattlePrimAddProc
0x26410	EXE4_btl_sub_BattlePrimAdd
0x26420	EXE4_btl_sub_BattlePrimAddInit
0x26430	EXE4_btl_sub_BattlePauseOn
0x26438	EXE4_btl_sub_BattlePauseOff
0x26440	EXE4_btl_sub_BattlePauseCheck
0x26448	EXE4_btl_sub_BattlePauseOnCheck
0x26458	EXE4_btl_sub_BattlePauseOffCheck
0x26468	EXE4_btl_sub_BattleEventBusyCheck
0x26470	EXE4_btl_sub_BattleKeyInit
0x26478	EXE4_btl_sub_BattleKeySetSub
0x26488	EXE4_btl_sub_BattleKeyWorkAdrsGet
0x26498	EXE4_btl_sub_BattleEnemyDelete
0x264a0	EXE4_btl_sub_BattleEnemyPreDelete
0x264a8	EXE4_btl_sub_BattleNaviPreDelete
0x264b0	EXE4_btl_sub_BattleResultCheck
0x264b8	EXE4_btl_sub_BattleEndCheck
0x264c0	EXE4_btl_sub_BattleCustomEnterCheck
0x264d0	EXE4_btl_sub_BattleFlagSet
0x264d8	EXE4_btl_sub_BattleFlagOn
0x264e0	EXE4_btl_sub_BattleFlagOff
0x264e8	EXE4_btl_sub_BattleFlagGet
0x264f0	EXE4_btl_sub_BattleEnemySetAdrsGet
0x26500	EXE4_btl_sub_BattleParamInit
0x26508	EXE4_btl_sub_BattleChipSet
0x26518	EXE4_btl_sub__dummy_chip_get
0x26520	EXE4_btl_sub__giga_chip_exist_check
0x26528	EXE4_btl_sub_BattleDeleteTimeAdd
0x26530	EXE4_btl_sub_BattleDeleteTimeGet
0x26538	EXE4_btl_sub_EmSetAdrsGet
0x26540	EXE4_btl_sub_VsSetAdrsGet
0x26548	EXE4_btl_sub_BattleMoveCheck
0x26558	EXE4_btl_sub_EnemyChipUseEnableCheck
0x26560	EXE4_btl_sub_NaviChipUseEnableCheck
0x26568	EXE4_btl_sub_BattleReportFlagInit
0x26570	EXE4_btl_sub_EmSetDataSet
0x26578	EXE4_btl_sub_EmSetTableInit
0x26588	EXE4_btl_sub_EmSetTableSet
